decision	evidence
Run: 1,742 declared dates, 1,741 with 160 job documents and a daily record; `2020-06-30` keeps its	/workspace/.worktrees/p15-17-fast/implementation/reports/research-work/P15-17/6cc3b4628129100d/attempt-0003/WORK_LOG.md
Terminal dispositions over the 278,560 rows: 256,720 evaluated, 20,880 unsupported, 800	/workspace/.worktrees/p15-17-fast/implementation/reports/research-work/P15-17/6cc3b4628129100d/attempt-0003/WORK_LOG.md
Blind hold-out (EVALUATION.md amendment 2026-09-16): 112 dates of 2026-04-01..2026-09-03 are trimmed	/workspace/.worktrees/p15-17-fast/implementation/reports/research-work/P15-17/6cc3b4628129100d/attempt-0003/WORK_LOG.md
Evaluation: streaming, 69.7 s, peak RSS 0.285 GB. 800 ledger rows = 160 candidates x 5 folds.	/workspace/.worktrees/p15-17-fast/implementation/reports/research-work/P15-17/6cc3b4628129100d/attempt-0003/WORK_LOG.md
Result: no candidate clears the promotion gates. 91 inconclusive_support, 38 retained_baseline,	/workspace/.worktrees/p15-17-fast/implementation/reports/research-work/P15-17/6cc3b4628129100d/attempt-0003/WORK_LOG.md
The bootstrap now draws block starts inside each calendar-year segment, as EVALUATION.md requires, and	/workspace/.worktrees/p15-17-fast/implementation/reports/research-work/P15-17/6cc3b4628129100d/attempt-0003/WORK_LOG.md
Self-check (`SELF_CHECK.txt`, `self_check.py`): the top candidate's mean paired improvement 25.779936	/workspace/.worktrees/p15-17-fast/implementation/reports/research-work/P15-17/6cc3b4628129100d/attempt-0003/WORK_LOG.md
`RESULT_CARD.json` (and REPORT.md's last section): verdict `not_reaching_target`, met `no`.	/workspace/.worktrees/p15-17-fast/implementation/reports/research-work/P15-17/6cc3b4628129100d/attempt-0003/WORK_LOG.md
The 2026-09-16 supplement is declared in `../attempt-0004/CANDIDATE_BANK_SUPPLEMENT.json` and hashed	/workspace/.worktrees/p15-17-fast/implementation/reports/research-work/P15-17/6cc3b4628129100d/attempt-0003/WORK_LOG.md
Four are recorded `duplicate` and not run: SAINT-AMT's B0.2 track builds its value area with	/workspace/.worktrees/p15-17-fast/implementation/reports/research-work/P15-17/6cc3b4628129100d/attempt-0003/WORK_LOG.md
`search.py` threads the recipe's `fraction` (Decimal) into `profile_value_area`; the stage records	/workspace/.worktrees/p15-17-fast/implementation/reports/research-work/P15-17/6cc3b4628129100d/attempt-0003/WORK_LOG.md
attempt-0004: 16 candidates x 1,742 dates at 6 workers, 2,256 s, one retained failure (2020-06-30),	/workspace/.worktrees/p15-17-fast/implementation/reports/research-work/P15-17/6cc3b4628129100d/attempt-0003/WORK_LOG.md
Merged evaluation (`evaluate_run(..., extra_run_roots=[attempt-0004])`): one ledger of 880 rows	/workspace/.worktrees/p15-17-fast/implementation/reports/research-work/P15-17/6cc3b4628129100d/attempt-0003/WORK_LOG.md
Result unchanged in kind: no candidate clears the gates. 101 inconclusive_support, 44	/workspace/.worktrees/p15-17-fast/implementation/reports/research-work/P15-17/6cc3b4628129100d/attempt-0003/WORK_LOG.md
For the release's breakdown edition: `search_run.paired_series_rows(run_root)` streams, per candidate	/workspace/.worktrees/p15-17-fast/implementation/reports/research-work/P15-17/6cc3b4628129100d/attempt-0003/WORK_LOG.md
