decision	evidence
20,000 bootstrap draws instead of 2,000. The attainable Holm floor for the	/workspace/implementation/reports/research-work/P15-19/definitive-0002/WORK_LOG.md
A comparison that fails only the Holm step is `inconclusive_multiplicity`, not	/workspace/implementation/reports/research-work/P15-19/definitive-0002/WORK_LOG.md
The support gate applies to both sides of the pair. Here the two sides are E0 and	/workspace/implementation/reports/research-work/P15-19/definitive-0002/WORK_LOG.md
Each ledger row carries the support counts on both sides, the attainable floor	/workspace/implementation/reports/research-work/P15-19/definitive-0002/WORK_LOG.md
`EXIT_COMPARISON.json` / `EXIT_RESULTS.json`, `EXIT_TRIALS.jsonl` (72 rows, each	/workspace/implementation/reports/research-work/P15-19/definitive-0002/WORK_LOG.md
`SELF_CHECK.txt` from `self_check.py`: a paired improvement recomputed to 0.016425	/workspace/implementation/reports/research-work/P15-19/definitive-0002/WORK_LOG.md
`RUN_BINDING.json`, `pytest.log`.	/workspace/implementation/reports/research-work/P15-19/definitive-0002/WORK_LOG.md
A separately counted decision family: it cannot promote or rescue an entry.	/workspace/implementation/reports/research-work/P15-19/definitive-0002/WORK_LOG.md
The entry rules come from P15-18 attempt-0002, one of which	/workspace/implementation/reports/research-work/P15-19/definitive-0002/WORK_LOG.md
Same-model self-review only. No hold-out date enters any comparison.	/workspace/implementation/reports/research-work/P15-19/definitive-0002/WORK_LOG.md
