ts	phase	decision	why	evidence	result
2026-09-16T04:42:10Z	step1	kept main runner.py; applied ruling a cascade (stop on fail only) and removed SIRES gamma session_unknown early return	orchestrator ruling a; merge notes had no remaining shared-file conflict	sires_b02.py:cascade_stages,scan_b02 families/sires.json	open
2026-09-16T06:29:30Z	step2	launched B0.2 full-history into 1019e6c09ee54609 with 12 workers	corrected adapters after ruling a; new manifest from runner sha	1019e6c09ee54609/MANIFEST.json runner.pid=2520125	running 1742 pending
2026-09-16T06:33:45Z	step4	end session with run still going	user said stop at end of step 3 if RUN_COMPLETE is absent	1019e6c09ee54609 runner.pid=2520125	predicate open, receipt not issued
2026-09-16T09:20:00Z	F1	calendar guard is frozen-list membership only; deleted NATIVE_CALENDAR_START/END	orchestrator F1; 2022-01-01 and 2021-07-04 are not sessions	common.py is_native_session require_native_session	applied
2026-09-16T09:20:00Z	F2	ofm_aggressive and balance_failure_fade stay contact_at_source_literal_location; no contact-density bound; gate asserts out-of-bound diagnosis	orchestrator F2; do not widen [0,64]	families/sires.json OFM p.4 BIG p.14	applied
2026-09-16T09:20:00Z	F3	serial cProfile of closed P15-09 250e5aea146f3516	orchestrator F3; STEP 2b unfinished	_work_r3/PROFILE_VERIFY_P15-09.txt	running
2026-09-16T09:20:00Z	F4	restore nine _repair_* files; tests write _work_r3; hash _repair_* and _track_*	orchestrator F4	test_track_round1_files_stay_byte_identical	applied
2026-09-16T09:20:00Z	F5	re-run author example replay; eight 2026-08-27..09-03 rows inside tape	orchestrator F5; adapters changed	tools/replay_author_examples.py	pending produce
2026-09-16T09:20:00Z	step4	B0.2 run 1019e6c09ee54609 complete; produce new receipt after F1-F5	orchestrator continuation	RUN_COMPLETE.json 69680 jobs	open
2026-09-16T10:05:00Z	F2	reverted ofm_aggressive and balance_failure_fade to session_unknown [1,1]	a null bound cannot be reported in or out; the brief keeps the source-grounded per-session bound	families/sires.json plausibility	applied
2026-09-16T10:10:00Z	F1	moved the frozen-list guard into native.build_market_view and deleted TAPE_END/TAPE_START/TAPE_LAST	one shared guard before the derived cache; 2026-09-03 is a list member so the loader needed no exemption	native.py is_native_session require_native_session	applied
2026-09-16T10:15:00Z	2b	re-keyed the receipt-result memo by (path, pending_ok, visiting)	a path-only key can reuse a result computed under an assumed-ok predecessor	receipts.py _VerifyState.receipt_memo_key	applied
2026-09-16T10:20:00Z	F4	redirected greenbird and jumbo test writes out of _repair_*	those tests still rewrote committed evidence	tests/rule_discovery/test_p15_16a*.py OUT=_work_r3	applied
2026-09-16T10:30:00Z	GAP1	added prior_week_level to B0.2 with RTH scope recorded and full-session named as unmeasured	the shared prior-period loader supplies RTH windows only	green_b02._prior_week_range F06-A9-pwl	applied
2026-09-16T10:35:00Z	GAP2	registered RR-16-tdo-retest alongside the close-through mode	the author's sequence makes the TDO retest the entry step	green_b02._confirmation_mode_values	applied
2026-09-16T10:40:00Z	GAP1/2	launched the supplemental run over prior_week_level, asia_box and prior_day_level	branch added and two scans changed after the main run; no main job file rewritten	32eb6ba2524104cb MANIFEST.json	running
2026-09-16T11:05:00Z	defect	installed the cache write guard for the whole tests/rule_discovery session and deleted eight empty derived entries	synthetic Tape fixtures reached HistoricalFeatures.prior and the cache wrote row_count 0 windows under /workspace/data	tests/rule_discovery/conftest.py; find -newer reports 0 files	applied
2026-09-16T11:06:00Z	defect	added test_A05_every_after_tape_example_replays_without_building_a_window	every example outside the frozen list must return a reason with build_event_window patched to raise	tests/rule_discovery/test_p15_16a.py	applied
2026-09-16T11:10:00Z	run	supplemental root 823273eba4b9ec50 complete: 4 branches, 1742 dates, 6968 jobs, 0 failed	branch added and three scans changed after the main root closed	823273eba4b9ec50/RUN_COMPLETE.json	applied
