id|kind|starting_point|existing_path|remaining_gap|further_upgrade|comparison|metric|fixtures|decision_use
F01|engineering|Load files into a dataframe for each analysis.|Immutable sources, reference decoders, bounded columnar reads and partition manifests.|Repeated experiments can still rescan identical raw partitions or materialize unnecessary columns.|Build a content-addressed partition index with field/schema/identity/time bounds and a one-pass shared measurement materializer. Register exact sufficient summaries and correction-aware checkpoints so later trials read the smallest valid view; retain the literal reader as the oracle.|Literal per-trial reads versus projected/chunked/shared views on identical records and downstream outputs; vary chunking and cold/warm cache.|Bytes read, CPU/RAM/storage, restart work and exact event/measurement parity; an engineering upgrade need not create alpha.|Interrupted materialization; changed enum/schema; same source under two paths; narrow projection accidentally omits a correction field.|Cheaper complete-family research through V08, enabling more useful comparisons within the same budget without duplicating raw data.
F02|engineering|Identify instruments using display symbols and a few multipliers.|PIT identity, expiry/exercise/settlement and operation-specific registry.|Repeated handwritten price/payoff/unit conversions can disagree across options, mappings and account code.|Compile validated instrument definitions into reusable payoff, price-domain, tick-rounding, currency and sensitivity-conversion kernels. Attach dimension checks and assumption sets to each conversion path; dispatch to an explicit unsupported path for nonstandard deliverables.|Hand-coded reference fixtures versus compiled kernels and independent inverse/round-trip paths; compare maintenance and lookup cost.|Zero unexplained payoff/unit differences; unsupported cases detected; lookup latency and definition-change impact radius.|Adjusted deliverable; multiplier change; underlying future differs from option root; reciprocal mapping versus conditional inverse.|Consistent O/P/X calculations with less duplicated special-case code and clearer data eligibility.
F03|engineering|Use fixed local-time strings for sessions and resets.|Versioned exchange/firm calendars, DST and independent boundary timers.|Many overlapping anchors can independently recompute boundaries or disagree on interval ownership.|Compile calendar versions into a shared interval/event graph for formation, publication, reset, holiday and required cutoff. Derive named-session intersections and timer events once, with stable IDs and reusable queries for all anchors.|String/rule reference versus compiled interval graph across every registered clock, including overlapping/global sessions.|Boundary agreement, timer latency, query cost and number of contradictory/duplicated resets.|DST fold; cross-midnight anchor; half-day inside a weekly range; updated required cutoff; no market tick at reset.|All C/L/R formation clocks and P boundaries use the same tested calendar events while preserving source-specific definitions.
F04|engineering|Recompute the whole feature stack at each decision tick.|Causal multi-rate scheduler, immutable version cuts and late-result expiry.|Even a correct scheduler can spend most of its budget recomputing unaffected producers or deliver useful forecasts too late.|Use dependency-driven dirty propagation and incremental state: classify changed raw fields, recompute only affected ports, coalesce superseded optional requests and prioritize producers by registered deadline/decision use. Benchmark a cost-aware schedule with measured runtime costs; integrity lanes remain unconditional.|Full recompute reference versus incremental/deadline schedules on identical admitted observations and declared decision clocks.|Completed useful forecasts by deadline, p95/p99 lag, CPU/RAM and decision parity; report any policy change caused by scheduling.|An OI revision changes exposure but not raw trade CVD; optional source outage; expensive surface fit; late result cannot restart its horizon.|Make broad simultaneous information practical without requiring every specialist on every tick.
F05|engineering|Treat each row as a fresh trade or quote and deduplicate by timestamp/price.|Provider-specific action/side/flags, identity and correction lineage.|Every downstream measurement may separately implement correction, overlap and retraction logic.|Emit a canonical transaction-delta stream with explicit insert/revise/cancel operations, original-event ownership and affected field deltas. Share correction reducers across volume, premium, profile and flow views; historical decision views remain immutable.|Independent raw replay versus shared delta reducers under insert/cancel/revise/reordered-delivery scenarios.|Mass/notional/state reconciliation; correction work and code duplication; no unintended cross-source double count.|Two legitimate identical prints; duplicate acquisition; correction changes side and size; correction arrives before original; partially matched standalone/embedded tapes.|Upgrade every event-derived measurement by giving it a consistent, efficient correction algebra.
F06|engineering|Drop a bad file or stop the entire strategy on a quality flag.|Raw/semantic checks, field masks, liveness and dependent-expert isolation.|A broad family-level mask can either discard too much usable information or understate which derived outputs were damaged.|Compile field-to-output quality dependencies and affected time intervals. Produce a minimal invalidation set plus explicit uncertainty for partially affected aggregates; add a preceding-data liveness/change detector calibrated for each source cadence, below hard semantic rules.|Global/family gating versus field-level propagation on planted and reviewed source faults; compare false halts and escaped corruption.|Corrupt-output escape rate, false-blocked coverage, time to localization and restored independent opportunities.|Trade-history gap with recovered book; one expiry missing; healthy unchanged quote; schema corruption limited to one field.|Preserve useful independent experts and direct repair effort to the actual limiting data defect.
F07|engineering|Join sources to the nearest timestamp and carry values forward.|Backward availability joins, sparse coverage tensor and purpose-specific eligibility.|Repeated full joins are expensive, and one generic joined table hides different effective information ages.|Maintain incremental interval joins and a compact per-decision version vector. Materialize separate valuation, signing, forecasting and execution views only from eligible intervals; cache common-cohort membership independently of outcome data.|Reference backward joins versus incremental views; common-grid and source-event cuts under identical availability rules.|Exact eligible-row/age agreement, join CPU/RAM and retained valid coverage by operation.|Late correction closes an eligibility interval; sparse daily report; future-nearest match; many contracts share one underlying update.|Faster, more transparent full-universe integration for O/X/C/L without weakening causal joins.
F08|engineering|Back-adjust a continuous futures series and use it for every price calculation.|Actual-contract fills, causal roll/adjustment versions and explicit level translation.|Return forecasts and absolute-price objects need different histories; restarting everything at a roll can waste useful state.|Maintain paired native-price and roll-neutral return views with a versioned bridge. Transfer only state whose invariants permit transfer; carry scale/return histories while re-anchoring price-bound objects through an uncertainty-tagged bridge or resetting them.|Full reset, explicit bridge and native-only references on matched roll/corporate-action periods.|Return/price conservation, warmup loss, bridge error versus zone width and economic sensitivity near rolls.|Roll spread changes intraday; stale bridge; split/dividend; old-contract profile mapped into new contract; indicator valid only in return units.|Keep useful long history without manufacturing executable prices or false roll signals.
F09|engineering|Aggregate time bars separately for each indicator.|Causal atomic time/event/volume bars with true OHLC and finalization.|Repeated aggregation can be costly and can subtly change extremes when different consumers partition the same tape.|Build mergeable ordered summaries for volume, price-volume moments and cumulative-flow increments/extrema. Derive multiple clocks from shared event blocks while preserving whole-event threshold overshoot and correction dependencies; summarize only quantities with a proved composition rule.|Literal event traversal versus ordered-block summaries across time/volume/event clocks and chunk boundaries.|Exact OHLC/volume/CVD-extrema parity, throughput, memory and shared-state reuse.|One large trade crosses a volume threshold; two blocks have same final CVD but different extrema; correction touches an earlier block; empty interval.|Support richer multiscale measurements economically, with a single reference arithmetic path.
F10|engineering|Keep chart levels in mutable lists and delete them after failure.|Immutable market-object revisions, visits, provenance and lifecycle states.|Geometry, observations, forecast views and action aliases can still be entangled, causing duplicate evidence or lost history.|Separate an immutable object/geometry graph, an append-only observation-event graph and derived forecast/action views. Maintain explicit equivalence, parent, split/merge and shared-idea edges; query historical state by cut without replaying all unrelated objects.|Mutable/reference reconstruction versus graph projections and incremental indexes on the same event history.|Historical-view agreement, duplicate-action rate, lineage completeness and object-query/restart cost.|POC and VWAP coincide; node split/merge; object renamed after loss; later geometry correction; expired object needed for labels.|All generators gain reusable lifecycle/lineage machinery; L18/P04 can distinguish shared evidence from fresh opportunities.
