ts	phase	decision	why	evidence	result
2026-09-15T00:00:00Z	frame	skip architect/arena; implement the PERFORMANCE.md plane as specified	the required properties already name storage, kernels, and gates	planning/research-program/PERFORMANCE.md	open
2026-09-15T00:00:00Z	frame	keep dual_scan live for 04 adapter tests; search reads B0/B0.1 from census_reader	R2 forbids recomputing baselines in search; dual_scan still applies family transforms R1 owns	rule_discovery/census_reader.py	open
2026-09-15T00:00:00Z	frame	contact kernel matches distinct_contacts (4-tick rearm) at the adapter wrapper; SPEC max(4, 0.1 S) plus a complete outside bar is a second kernel	changing enumerate_lifecycle_contacts behavior would shift 04 candidate ids	source_adapters/common.py:748	open
2026-09-15T01:00:00Z	decode	skip parquet file_digest and row_id strings on the scan load path	before-profile of 2024-03-05 spent 1.84 s hashing the monthly parquet inside decode_arrow_table	PROFILE_BEFORE.txt	open
2026-09-15T01:00:00Z	decode	project parquet columns in load_span_arrow	read_row_group of the full MBP-1 schema was 0.34 s plus pyarrow casts 0.41 s	native.py load_span_arrow	open
2026-09-15T01:00:00Z	search	dual_scan still recomputes B0/B0.1 for 04 adapter tests; P15-17 search must call census_reader	family transforms bind on live B0.1; the census is the frozen B0.1 without those transforms	census_reader.py	open
2026-09-15T02:00:00Z	measure	stop after 20-session mean 1.066 s missed the 0.96 s 3x target	p90 1.48 s meets the 5 s gate; remaining time is parquet decode; bank and dates were not reduced	THROUGHPUT.json PROFILE_AFTER.txt	3x miss, 5s pass
2026-09-15T02:20:00Z	parity	40-date baseline delegation is byte-equal to run-1.0.1	2280 jobs, 2280 matches, no mismatches, 8 workers, 875.8 s	PARITY_40.json	superseded. full stratified set required
2026-09-15T03:00:00Z	contacts	convert reference bounds with price_to_units (0.0001), not price_to_ticks	quadrant q1 can be 12939.1250, which is not a whole 0.25 tick	common.py enumerate_lifecycle_contacts, native.py price_to_units	open
2026-09-15T03:00:00Z	kernels	add s2_machine_kernel and s3_machine_kernel. scan uses advance_on_bars over bar arrays	the contract named S1 to S4. S1/S4 existed. S2/S3 were missing	kernels.py sequences.py engine_slice.py	open
2026-09-15T03:00:00Z	throughput	relabel FAMILY_THROUGHPUT as incomparable plane vs dual-scan columns	the previous table compared HistoricalFeatures dual-scan to a synthetic one-contact plane run	FAMILY_THROUGHPUT.json research-family-throughput-v2	open
2026-09-15T04:00:00Z	parity	full stratified_parity_dates replay is byte-equal	60 dates, 3420 jobs, 3420 matches, 2025 included, PARITY_STRATIFIED.json	PARITY_STRATIFIED.json	tests green
2026-09-15T04:10:00Z	verify	pytest tests/rule_discovery 344 passed 0 failed	includes changed_reference native population and recorded-parity contract cover	pytest exit 0	tests green
