decision	evidence
**The multiplicity gate was unpassable.** At 2,000 draws the smallest attainable	/workspace/implementation/reports/research-work/P15-18/4f4fcccf0ed8d0e9/attempt-0002/WORK_LOG.md
**Every fold row carried the same `test_metrics`.** The promotion metric is pooled	/workspace/implementation/reports/research-work/P15-18/4f4fcccf0ed8d0e9/attempt-0002/WORK_LOG.md
**The combinations were promoted without their own statistics.** A combination row	/workspace/implementation/reports/research-work/P15-18/4f4fcccf0ed8d0e9/attempt-0002/WORK_LOG.md
**`support.resolved_opportunities` was null on every row.** Each row now carries	/workspace/implementation/reports/research-work/P15-18/4f4fcccf0ed8d0e9/attempt-0002/WORK_LOG.md
**The support gate now applies to both sides.** A neighbour whose own baseline is	/workspace/implementation/reports/research-work/P15-18/4f4fcccf0ed8d0e9/attempt-0002/WORK_LOG.md
`TRIALS.jsonl`, `SELECTED_RULES_BY_FOLD.json`, `COMBINATION_RESULTS.json`,	/workspace/implementation/reports/research-work/P15-18/4f4fcccf0ed8d0e9/attempt-0002/WORK_LOG.md
`SELF_CHECK.txt` from `self_check.py`, reading this attempt's results and the bound	/workspace/implementation/reports/research-work/P15-18/4f4fcccf0ed8d0e9/attempt-0002/WORK_LOG.md
`RUN_BINDING.json`, `pytest.log`.	/workspace/implementation/reports/research-work/P15-18/4f4fcccf0ed8d0e9/attempt-0002/WORK_LOG.md
Same-model self-review only.	/workspace/implementation/reports/research-work/P15-18/4f4fcccf0ed8d0e9/attempt-0002/WORK_LOG.md
No number here touches the blind hold-out (2026-04-01..2026-09-03, 112 days).	/workspace/implementation/reports/research-work/P15-18/4f4fcccf0ed8d0e9/attempt-0002/WORK_LOG.md
The refinement cannot rescue a family whose baseline the breadth stage retained.	/workspace/implementation/reports/research-work/P15-18/4f4fcccf0ed8d0e9/attempt-0002/WORK_LOG.md
