decision	evidence
With 2,000 bootstrap draws the smallest attainable p-value is 1/2001 and the	/workspace/implementation/reports/research-work/P15-17/6cc3b4628129100d/attempt-0005/WORK_LOG.md
The support gate now applies to **both** sides of a pair. A candidate whose own	/workspace/implementation/reports/research-work/P15-17/6cc3b4628129100d/attempt-0005/WORK_LOG.md
`contracts/evaluation.py`: `BOOTSTRAP_DRAWS = 20000`; new	/workspace/implementation/reports/research-work/P15-17/6cc3b4628129100d/attempt-0005/WORK_LOG.md
`rule_discovery/search_run.py`: the outer row carries	/workspace/implementation/reports/research-work/P15-17/6cc3b4628129100d/attempt-0005/WORK_LOG.md
`rule_discovery/refinement.py`: `evaluate_promotion()` implements the two-sided	/workspace/implementation/reports/research-work/P15-17/6cc3b4628129100d/attempt-0005/WORK_LOG.md
`rule_discovery/exits.py`: the exit rows declare the baseline's resolved count	/workspace/implementation/reports/research-work/P15-17/6cc3b4628129100d/attempt-0005/WORK_LOG.md
`GB-FAIL:previous_hour:T4` (Timing): +5.5885 points/day, 95% CI [3.399, 7.877],	/workspace/implementation/reports/research-work/P15-17/6cc3b4628129100d/attempt-0005/WORK_LOG.md
`JJ-TBR:judas_reversal:S4` (Sequence): +3.4417 points/day, CI [2.400, 4.484],	/workspace/implementation/reports/research-work/P15-17/6cc3b4628129100d/attempt-0005/WORK_LOG.md
`BREADTH_RESULTS.json`, `TRIALS.jsonl` (880 rows = 176 registered candidates x 5	/workspace/implementation/reports/research-work/P15-17/6cc3b4628129100d/attempt-0005/WORK_LOG.md
`SELF_CHECK.txt` from `self_check.py`, run against this attempt's results and	/workspace/implementation/reports/research-work/P15-17/6cc3b4628129100d/attempt-0005/WORK_LOG.md
`native-slice/`: the five declared dates x 160 candidates re-run on 2026-09-17	/workspace/implementation/reports/research-work/P15-17/6cc3b4628129100d/attempt-0005/WORK_LOG.md
`AUDIT_S1.md`, `RUN_BINDING.json`.	/workspace/implementation/reports/research-work/P15-17/6cc3b4628129100d/attempt-0005/WORK_LOG.md
Same-model self-review only.	/workspace/implementation/reports/research-work/P15-17/6cc3b4628129100d/attempt-0005/WORK_LOG.md
The blind hold-out (2026-04-01..2026-09-03, 112 account days) enters nothing here.	/workspace/implementation/reports/research-work/P15-17/6cc3b4628129100d/attempt-0005/WORK_LOG.md
The Sequence-bank ordering defect is reported, not fixed: fixing it changes the	/workspace/implementation/reports/research-work/P15-17/6cc3b4628129100d/attempt-0005/WORK_LOG.md
