id|focus|definition|comparison|fixtures
F01|Atomic reproducible ingestion|Accept a partition only after schema, counts and content identity are committed together; interrupted or partial output cannot enter a consumer manifest. Preserve decimal-to-tick conversion errors and source enum encodings explicitly.|Compare reference and optimized readers across chunk sizes, projection and restart; an ingestion optimization must preserve downstream event identity.|Crash between data and manifest write; decimal just off tick; same payload through native and exported encodings; reordered input files.
F02|Identity with purpose-specific eligibility|Use distinct valuation, flow-aggregation and execution eligibility. Keep instrument identity valid-time and knowledge-time separately; a corrected historical definition can repair research truth without being made available to an earlier decision.|Compare authoritative as-of registry and provider mappings on common instruments; uncertain metadata blocks only operations requiring it.|ID reused on a later date; definition corrected after a trade; multi-leg contract with an incomplete leg; adjusted multiplier that is valid but nonstandard.
F03|Calendar-version and reset ownership|Assign every reset and boundary a stable calendar event ID and explicit owner. Independent timers fire once even without a market tick; a late calendar correction creates a recorded new version rather than silently moving old labels.|Compare historical source-clock variants with the exchange/business-date reference while holding price information and trading horizon fixed.|Restart immediately before and after boundary; duplicated calendar event; shortened session inside a formation window; a boundary update while a position exists.
F04|Availability accounting without double latency|Define derived availability as the later of all required input availabilities and actual computation completion. Add a modeled compute duration only when completion is not observed; never add it twice. Raw validation precedes normalization; downstream semantic quality uses normalized outputs through separate ports.|Compare single-stream reference and partitioned scheduling with identical admitted observations; isolate feed, queue and compute delay contributions.|Input known at 10:00:00, task finishes 10:00:02 with two-second duration: usable at 10:00:02, not 10:00:04; delayed correction and tied independent streams.
F05|Correction and cross-source identity|Track original transaction, receipt revision and correction as separate identities. Apply a correction once at its availability and retain the previous decision view. Book-event side and trade aggressor remain separate even when the same character is used.|Compare embedded and standalone tapes by multiplicity and correction lineage, including uncertain match sets; do not force a one-to-one identity from time/price alone.|Two identical legitimate prints plus one duplicated file; correction before original delivery; correction changing side/size; unresolved cross-source pairing.
F06|Freshness versus unchanged value|Maintain last source observation, last value change, last local receipt and source-liveness evidence separately. An unchanged healthy book can remain valid; a repeated copied snapshot cannot establish freshness. Recovery of the book does not reconstruct missing trade history.|Compare fixed eligibility rules and anomaly advisories on reviewed quiet, outage and restart cohorts; measure both coverage loss and corruption leakage.|Same unchanged price under a healthy feed and a dead feed; a new snapshot carrying an old economic observation; book recovery with incomplete CVD history.
F07|Join support and asynchronous error|A joined vector records per-field age and joint support, not only a row-level valid bit. Preserve uncertainty from asynchronously sampled calls/puts, source/receiver prices and reports; a backward join alone does not make them contemporaneous.|Compare exact common-cut observed subsets with age-matched larger subsets and separately labeled estimates, using the same downstream target.|All fields individually within TTL but collected across a large price move; one stale field inside an otherwise new row; overlapping acquisitions with conflicting payloads.
F08|Roll bridge and genuine price moves|A roll bridge uses actually contemporaneous eligible contracts and records its observation interval. Separate adjustment jumps from genuine overnight movement; expire or translate each object under its declared coordinate policy, retaining exposure and cost lineage.|Compare fixed/prior-volume roll and reset/translation on common dates without picking the best realized roll economics.|No simultaneous overlap; both roll and genuine market gap; profile translated twice; dividend-adjusted return input accidentally joined to raw option strikes.
F09|Activity bars and event conservation|The initial event/volume-bar reference closes on the first whole event meeting its threshold and retains overshoot. A split-event alternative must retain one source event with explicit allocation; it cannot create several independent trade observations.|Compare time, whole-event volume and explicitly allocated bars while matching raw events and reporting completion delay and variable exposure.|A single trade exceeds several thresholds; empty valid interval versus missing data; reset inside a bar; late correction after a final version.
F10|Object state dimensions|Separate object existence/eligibility from visit state and evidence state. An object can remain active after a contact or reclaim. Persist generator-specific allowed transitions and lineage for simultaneous split/merge/retest changes.|Compare the active-set query against replay of the immutable event log at every tested cut; lifecycle forecasts cannot mutate facts.|Contact wrongly deactivates a usable level; split and merge at one cut; invalidation followed by reactivation under a new version; restart midway through a visit.
F11|Artifact dependency closure|Include actual input columns, transform state, model/calibrator versions, target definition and numerical execution settings in artifact lineage. Atomically commit artifacts and manifests; a changed upstream dependency invalidates only its dependent graph.|Reproduce a complete run from the declared dependency closure and compare reference tolerances across numerical backends.|Changed scaler with same model name; missing transitive dependency; partially written cache; accidentally served calibration labels; tolerated numeric drift exceeding a decision threshold.
F12|Transport recovery and paired capture|Capture source sequence/reset events and local transport gaps separately from market inactivity. Replay the exact captured stream, including disconnections and subscription changes, and compare the actual served versions at their completion times.|Compare historical and live adapters on the same captured bytes before comparing separately acquired histories; estimate timing uncertainty by source/session.|Sequence reset after reconnect; duplicate snapshot plus new trades; subscription changes midway through a forecast; UTC clock adjustment while monotonic elapsed time remains valid.
M01|CVD scale, bounds and missing history|Publish signed net, buy/sell/unknown mass, interval increments and anchor age together. Unknown-side bounds describe observed unknown volume; missing trades after an outage require a separate incompleteness flag and cannot receive a finite bound from observed volume alone.|Compare raw cumulative, causal increments and seasonally scaled flow with the same target; preserve the reported-side definition in every variant.|Unknown signs with complete tape versus unseen volume in a gap; reset creates a large apparent change; unit scaling and correction cross an anchor.
M02|Cohort definition and sampling stability|Record whether cohorts refer to provider trade summaries, individual prints or another observable unit. Keep empty-but-observed cohort OHLC distinct from missing coverage, and preserve thresholds/version at each event rather than rebucketing old decisions after refitting.|Compare fixed, equal-count and equal-volume cohorts plus close-only/full-OHLC channels on matched source aggregation and opportunity cuts.|A vendor changes trade aggregation; one large trade crosses an activity-bar boundary; unknown-side volume concentrated in one cohort; identical closes with reversed extrema order.
M03|Divergence as a timed joint observation|Carry anchor age, comparison duration, amplitude and confirmation delay alongside the divergence sign. A source failure to breach is evaluated only over its observed opportunity interval; missing or closed source data cannot assert nonconfirmation.|Compare continuous joint price/flow changes, thresholded divergence and sequence encoders with the same anchors and decision time.|Equal highs within tick tolerance; source market closed; receiver breach precedes source availability; divergence disappears before its pivot confirmation becomes usable.
M04|Profile ties, grid phase and topology|Retain the entire POC maximizer set/plateau alongside the reference tie-selected price. Quantify node persistence under neighboring row widths, grid origins and smoothing; a tiny bin shift must not manufacture an independent shelf.|Compare exact histogram, multiscale smoothing and learned profile representation at matched density/width while preserving each anchor's mass.|Symmetric double peak; flat POC plateau; grid shifted one tick; narrow valley disappears under smoothing; value-area expansion overshoots the requested fraction.
M05|Side dominance under unknown volume|At each row retain the observed delta interval from unknown signed volume and distinguish sign-certified from sign-ambiguous concentration. Total, positive, negative and absolute-delta masses remain separate; delta/total requires observed nonzero mass.|Compare total density, signed channels and uncertainty-aware side profiles on the same anchors and candidate geometry.|Observed delta changes sign within its unknown-volume bound; buy and sell shelves cancel in net; one empty row creates a spurious ratio peak.
M06|TPO confirmation and observational dwell|Separate currently single-print rows from final confirmed single prints, and retain the bracket opportunity count. Trade-visit occupancy, bar-range filling and interpolated dwell are different estimands with their own missing-time exposure.|Compare bracket sizes and exact visits versus bounded dwell on the same session; evaluate additional value over both volume and price-only geometry.|A provisional single print fills later; no trade observed during a long stale interval; one bracket revisits a row many times; early close changes available brackets.
